Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,48,F,2,Graduate,Divorced,Less than $40K,Blue,40,5,3,3,1452.6,0,1478.6,0.664,1058,21,0.642,0.0
1,57,F,3,High School,Single,Less than $40K,Blue,48,3,3,4,1438.3,0,1464.9,0.486,675,10,0.393,0.0
0,47,M,2,Graduate,Married,$60K - $80K,Blue,42,5,2,0,2467.6,680,1758.1,1.171,1314,35,1.053,0.279
0,43,M,2,Graduate,Married,$60K - $80K,Blue,36,4,2,0,6953.5,1405,5274.9,1.346,1201,37,0.706,0.21
0,42,M,2,Graduate,Married,$80K - $120K,Blue,30,6,2,3,18302.9,2267,16350.2,1.9,1778,34,0.774,0.12
1,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,2182.7,0,2210.3,0.424,694,15,0.584,0.0
1,50,F,2,Graduate,Married,Less than $40K,Blue,40,4,3,3,1483.7,0,1464.1,0.411,617,15,0.353,0.0
0,48,F,2,Graduate,Married,Less than $40K,Blue,36,5,2,2,2530.2,1562,1438.3,0.838,1439,27,0.855,0.618
0,41,F,3,High School,Single,Less than $40K,Blue,33,3,2,1,1438.3,971,1438.3,1.788,1059,25,0.361,0.669
0,41,F,3,High School,Single,Less than $40K,Blue,33,3,2,1,1453.9,975,1438.3,1.798,1064,22,0.35,0.685
1,55,M,2,Graduate,Married,$60K - $80K,Blue,46,2,3,3,2172.7,0,2250.8,0.388,651,10,0.332,0.0
0,47,F,4,High School,Single,Less than $40K,Blue,36,3,3,2,2468.8,1559,1438.3,0.564,1124,27,0.362,0.608
0,47,F,4,High School,Single,Less than $40K,Blue,36,3,3,2,2504.1,1559,1438.3,0.564,1124,18,0.344,0.614
0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3287.2,0,3370.9,2.545,1888,21,2.268,0.0
1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,5,1488.2,1.064,692,17,0.593,0.0
0,42,M,4,College,Married,$80K - $120K,Blue,31,3,3,2,8258.1,1928,6446.4,0.628,1202,21,0.936,0.228
0,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8088.8,868,7295.7,1.533,1293,29,3.601,0.104
1,55,M,2,Graduate,Married,$60K - $80K,Blue,46,2,3,3,2206.8,0,2171.8,0.385,645,10,0.314,0.0
0,44,M,3,Graduate,Married,$40K - $60K,Blue,36,3,3,0,4700.1,0,4756.3,1.529,1091,20,0.495,0.0
0,42,M,4,Graduate,Married,$60K - $80K,Gold,36,2,3,3,33541.1,1200,33593.6,0.669,1353,43,0.792,0.035
0,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8498.0,861,7469.3,1.543,1292,38,3.803,0.11
1,49,F,2,Graduate,Single,Less than $40K,Blue,36,2,3,3,1438.3,0,1438.3,0.515,655,18,0.446,0.0
1,58,F,2,High School,Single,Less than $40K,Blue,48,3,3,4,1440.2,0,1438.3,0.5,685,14,0.397,0.0
1,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,2130.5,0,2287.0,0.411,693,20,0.614,0.0
0,41,M,2,Graduate,Married,$80K - $120K,Blue,36,4,2,2,8541.0,0,8933.3,2.091,1266,32,0.588,0.0
0,55,M,3,Graduate,Married,$60K - $80K,Blue,45,4,2,3,4243.4,1514,2742.7,1.446,1352,35,1.687,0.356
0,39,F,1,College,Single,Less than $40K,Blue,28,5,2,2,2965.1,1472,1569.2,0.861,1205,33,0.683,0.475
1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1449.1,0,1441.8,1.073,694,14,0.605,0.0
0,49,M,3,Graduate,Married,$80K - $120K,Blue,36,5,1,3,11516.0,1672,10101.4,1.53,1444,27,0.873,0.149
0,40,M,1,High School,Married,$60K - $80K,Blue,36,5,2,1,13600.2,0,13400.2,0.578,1037,17,0.571,0.0
0,46,M,2,Graduate,Married,$60K - $80K,Blue,36,4,1,2,9337.3,1409,8005.6,1.376,1307,37,1.289,0.152
0,46,M,3,Graduate,Married,$60K - $80K,Blue,36,4,1,2,9801.1,1409,7778.5,1.328,1312,32,1.339,0.145
0,48,M,3,Graduate,Married,$60K - $80K,Blue,36,5,3,4,3034.2,0,3059.2,1.873,1458,12,1.009,0.0
0,42,M,3,Graduate,Married,$40K - $60K,Blue,36,3,1,2,3925.2,1242,2798.8,1.39,1086,24,0.829,0.293
1,58,F,2,High School,Single,Less than $40K,Blue,48,3,3,4,1462.0,0,1438.3,0.497,683,15,0.4,0.0
0,52,M,3,Graduate,Married,$60K - $80K,Blue,40,3,1,0,8338.3,1648,7117.2,1.538,1313,30,1.369,0.197
0,47,M,2,Graduate,Married,$60K - $80K,Blue,42,5,2,0,2446.2,681,1713.0,1.199,1307,33,1.055,0.282
